label;count;min;median;mean;max;std;centroid_norm;aliases
Abella Anderson;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Abigail Mac;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Agatha Vega;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Alex Aurora;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Alex Little;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Alice Moon;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Alina Valera;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Alisha Angel;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Alison Avery;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Allyza Blue;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Alyssa Haven;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Alyssa Weiber;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Amanda Pickering;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Amber Lynn Bach;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Angel Cakes;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Ariana Angel;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Arianna Eden;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Ava Haze;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Ava Sparxxx;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Barbara Angel;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Bea Cummins;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Bella Reese;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Beth McKenna;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Beti Phellasio;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Bianca Jaguar;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Bonnie Lace;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Brandi Mae;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Brandy Robbins;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Brenda Estarlich;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Brett Rossi;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Britney Dutch;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Brittney Babe;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Buffy Sinclair;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Callie Calypso;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Camilla Creampie;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Candy Caine;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Carla White;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Carmela Clutch;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Carmen De Luz;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Carmen December;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Carmina Kai;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Carol Sousa;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Carrie Jean Yazel;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Cassidy Klein;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Cassie Blanca;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Cherry Blossoms;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Chihiro Manaka;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Christie Lee;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Christie Sweet;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Claire Evans;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Claudia Blanka;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Codi Carmichael;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Crista Moore;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Crystal;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Crystal Enloe;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Dakota Burns;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Dany Sun;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Dayana Kamil;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Debbie Boyde;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Dee Melons;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Diana Jane;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Dina Candy;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Dulce Rivera;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Dusty Rose;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Elaine Meadors;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Ella Silver;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Emily Cartwright;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Evie Ling;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Fabiana Britto;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Felicia Mcdonald;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Foxy Sanie;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Francesca Kitten;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Gabby Quinteros;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Gia Gold;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Gia Star;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Gina Varney;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Grace Rosy;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Hailey Little;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Hanna Hilton;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Heather Hooters;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Helina Kabul;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Holly Hollywood;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Honey Koo;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Honey Luau;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Irina Voronina;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
JC Wilds;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Jade Baker;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Jade Bryce;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Jaden Simone;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Jane Sweet;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Jane Wilde;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Janeth Tense;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Jazlyn Dimez;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Jenny Laird;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Jenny Reeder;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Jesika Diamond;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Jess West;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Jessy Blank;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Jojo Frost;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Judy Mayflower;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Julie McCullough;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Katie Banks;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Keely Rose;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Kylie Nymphette;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Lana Smalls;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Lexie Candy;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Little Cookie;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Lucy Sky;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Maat;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Madi Meadows;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Madison Scott;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Mae Olsen;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Mashenka;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Maya Gates;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Nara Abel;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Natalia Pearl;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Ophelia Fae;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Petra Blair;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Rachel Evans;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Rojo Montana;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Roxi Keogh;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Roxy Delani;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Roxy Rockat;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Roxy Royce;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Ruby Temptations;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Sabrina Bellani;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Sabrina Linn;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Sakura;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Samantha Bell;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Samantha Pink;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Samantha Shane;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Samantha Sparkle;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Sandra Sturm;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Sarah Blake;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Sarah Heizel;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Sasha Bonilova;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Savvanah Star;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Shiela Cruiz;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Silvie Thomas;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Sofi Von Doom;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Soko Ahe;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Stefania Silk;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Subana Grande;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Summer Raine;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Sunny Jay;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Svanhild;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Sweet Claudia;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Sydney Simona;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Taylor Seinturier;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Ten Amorette;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Tera19;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Tess Dagger;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Tessa Taylor;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Tiffany Lopez;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Tina Hot;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Tonisha Mills;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Valentine Chevalier;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Victoria Cross;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
