label,count,min,median,mean,max,std,centroid_norm,aliases
Mary Fox,44,0.04477392137050629,0.8129040598869324,0.6983075141906738,0.8809978365898132,0.2562563717365265,0.6983075141906738,
Andreea Mantea,20,0.17699536681175232,0.7857155203819275,0.7494465112686157,0.8221530914306641,0.13642430305480957,0.7494465708732605,
Vyeta Mustafina,10,0.19195404648780823,0.6742801070213318,0.629993736743927,0.7956540584564209,0.16384953260421753,0.6299936771392822,
Vicky Anne,7,0.19764874875545502,0.7457101941108704,0.6950182318687439,0.8611959218978882,0.2089741826057434,0.6950182318687439,
Rosemary Moyer,8,0.19967660307884216,0.6989424824714661,0.662248969078064,0.8411005139350891,0.1824347823858261,0.662248969078064,
Alena Smile,41,0.20183619856834412,0.5466135740280151,0.5495545268058777,0.7225744128227234,0.11920803040266037,0.5495545864105225,
Tony James,10,0.20457561314105988,0.44945526123046875,0.4355293810367584,0.5848565697669983,0.1249481737613678,0.43552935123443604,
Olivia Paige,7,0.2099301815032959,0.7480261325836182,0.6756893992424011,0.7855386734008789,0.19193466007709503,0.6756893992424011,
Russell Grand,9,0.2201748788356781,0.44555819034576416,0.4017117917537689,0.5200448036193848,0.11436253786087036,0.40171176195144653,
Helena R,35,0.22330492734909058,0.8245644569396973,0.7691112756729126,0.8818684816360474,0.1452084332704544,0.7691112756729126,
Gia Red,17,0.2244531214237213,0.9090906381607056,0.862637460231781,0.9446176886558533,0.16642509400844574,0.862637460231781,
Chelsea Charms,9,0.2308260202407837,0.802150547504425,0.7309806942939758,0.8419107794761658,0.1812354475259781,0.7309806942939758,
Gina Gerson,55,0.23575834929943085,0.7538392543792725,0.7343005537986755,0.8503278493881226,0.10039270669221878,0.7343006134033203,
Goldie Glass,58,0.24636751413345337,0.8146465420722961,0.7808359265327454,0.8908616304397583,0.11055068671703339,0.7808359265327454,
Sabrina Squirts,37,0.24781173467636108,0.631643533706665,0.5878923535346985,0.7889801263809204,0.1314086616039276,0.5878923535346985,
Xandra Brill,9,0.25275737047195435,0.7825250625610352,0.7217627167701721,0.8285442590713501,0.1743440479040146,0.7217627167701721,
Ginebra Bellucci,38,0.2544350326061249,0.6997490525245667,0.6550815105438232,0.765977144241333,0.10280627757310867,0.6550815105438232,
Shade Paine,9,0.25736647844314575,0.474813848733902,0.49316495656967163,0.6541060209274292,0.13399042189121246,0.49316495656967163,
Andi Anderson,36,0.26032939553260803,0.8323365449905396,0.7924004197120667,0.9084498882293701,0.12504617869853973,0.7924004197120667,
Harley Love,62,0.2609971761703491,0.7767266035079956,0.7482008337974548,0.8607609868049622,0.11078090965747833,0.7482007741928101,
Katerina Hartlova,44,0.26569420099258423,0.7399435043334961,0.7156493067741394,0.8459901213645935,0.11662449687719345,0.7156492471694946,
