Rank;Person A;Person B;Recommendation;Uncertainty Score;Samples A;Samples B;Fail Rate A;Fail Rate B;Fail Reasons A;Fail Reasons B;Intra Variance A;Intra Variance B;Confusion Distance;Outliers A;Outliers B;Issue A;Issue B
1;Colette Dupree;Inga Zolva;Personerna har liknande ansiktsdrag (avstånd 0.203). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Colette Dupree har 86% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Colette Dupree har bara 2 bilder – samla fler träningsbilder.;0.590;2;39;86%;40%;"no_faces(7); high_yaw(3); low_focus(2)";unknown(26);0.0592;0.1752;0.2028;0;2;"Mycket få träningsbilder (2 st); Ömsesidig förväxling med Inga Zolva (avstånd 0.203); Hög andel misslyckade bilder (86%)";"Ömsesidig förväxling med Colette Dupree (avstånd 0.203); 2 outlier-embedding(s)"
2;Vanessa Albright;Cassey Chasem;Personerna har liknande ansiktsdrag (avstånd 0.224). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Cassey Chasem har 51% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Vanessa Albright har bara 3 bilder – samla fler träningsbilder.;0.577;3;31;50%;51%;unknown(3);"high_yaw(26); no_faces(4); low_focus(1)";0.1663;0.2104;0.2241;0;1;"Mycket få träningsbilder (3 st); Ömsesidig förväxling med Cassey Chasem (avstånd 0.224)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Vanessa Albright (avstånd 0.224); Hög andel misslyckade bilder (51%); 1 outlier-embedding(s)"
3;Elouise Please;Jessica Lo;Personerna har liknande ansiktsdrag (avstånd 0.257). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Elouise Please har 64% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.558;4;20;64%;29%;unknown(7);"high_yaw(6); no_faces(2)";0.1766;0.2059;0.2567;0;2;"Få träningsbilder (4 st); Ömsesidig förväxling med Jessica Lo (avstånd 0.257); Hög andel misslyckade bilder (64%)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Elouise Please (avstånd 0.257); 2 outlier-embedding(s)"
4;Dianne Dee;Daiana King;Hög varians i Dianne Dee tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Dianne Dee har 71% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Daiana King har 73% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Dianne Dee har bara 2 bilder – samla fler träningsbilder.;0.557;2;17;71%;73%;unknown(5);"high_yaw(27); no_faces(12); low_focus(6)";0.2940;0.1797;0.4118;0;1;"Mycket få träningsbilder (2 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Daiana King (avstånd 0.412); Hög andel misslyckade bilder (71%)";"Ömsesidig förväxling med Dianne Dee (avstånd 0.412); Hög andel misslyckade bilder (73%); 1 outlier-embedding(s)"
5;Yuri Sakurai;Ai Mizushima;Hög varians i Yuri Sakurai tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Yuri Sakurai har 79% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Ai Mizushima har 70% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.549;8;9;79%;70%;"high_yaw(21); no_faces(6); low_focus(2)";unknown(21);0.4932;0.1906;0.4355;0;0;"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Ai Mizushima (avstånd 0.436); Hög andel misslyckade bilder (79%)";"Ömsesidig förväxling med Yuri Sakurai (avstånd 0.436); Hög andel misslyckade bilder (70%)"
6;Shawnie Jones;Sugar Amy;Personerna har liknande ansiktsdrag (avstånd 0.248). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder.;0.538;5;11;38%;45%;unknown(3);"low_focus(4); high_yaw(3); no_faces(2)";0.2110;0.1300;0.2485;0;0;"Få träningsbilder (5 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Sugar Amy (avstånd 0.248)";Ömsesidig förväxling med Shawnie Jones (avstånd 0.248)
7;Jenny McCarthy;Amy McCarthy;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Jenny McCarthy' och 'Amy McCarthy' i merge.txt. | Jenny McCarthy har 55% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.502;14;29;55%;38%;unknown(17);unknown(18);0.3076;0.2089;0.1749;0;1;"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Amy McCarthy (avstånd 0.175); Hög andel misslyckade bilder (55%)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Jenny McCarthy (avstånd 0.175); 1 outlier-embedding(s)"
8;Carol O;Vilma Banky;Extremt lika embeddings (avstånd 0.101). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Carol O har 78% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Vilma Banky har 66% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.492;17;35;78%;66%;"high_yaw(33); no_faces(20); low_focus(7)";"high_yaw(34); no_faces(27); low_focus(7)";0.2282;0.1303;0.1010;0;2;"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Vilma Banky (avstånd 0.101); Hög andel misslyckade bilder (78%)";"Ömsesidig förväxling med Carol O (avstånd 0.101); Hög andel misslyckade bilder (66%); 2 outlier-embedding(s)"
9;Chloe Goodman;Charlene Nicholls;Hög varians i Chloe Goodman tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Chloe Goodman har 64% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.488;30;38;64%;40%;"high_yaw(53); low_focus(1)";unknown(25);0.3536;0.1890;0.2370;1;1;"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Charlene Nicholls (avstånd 0.237); Hög andel misslyckade bilder (64%); 1 outlier-embedding(s)";"Ömsesidig förväxling med Chloe Goodman (avstånd 0.237); 1 outlier-embedding(s)"
10;Brown Sugar;Candi Dreamz;Hög varians i Brown Sugar tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person.;0.472;4;4;43%;43%;unknown(3);unknown(3);0.4926;0.1632;0.6230;0;0;"Få träningsbilder (4 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Candi Dreamz (avstånd 0.623)";"Få träningsbilder (4 st); Ömsesidig förväxling med Brown Sugar (avstånd 0.623)"
